Departure Date,Sum_of_Revenue
2018-08-27,1875.47
2018-08-27,1875.47
2018-08-27,1875.47
2018-07-02,550.0
2018-07-02,550.0
2018-07-05,1529.54
2018-07-05,1529.54
2018-08-15,3150.09
2018-08-15,3150.09
2018-07-09,172.26
2018-07-09,172.26
2018-07-02,139.86
2018-07-02,139.86
2018-07-02,447.5
2018-07-02,447.5
2018-07-02,204.5
2018-07-02,204.5
2018-07-02,350.0
2018-07-02,350.0
2018-07-02,350.0
2018-07-02,243.46
2018-07-02,243.46
2018-07-04,360.0
2018-07-04,360.0
2018-07-04,289.0
2018-07-04,289.0
2018-07-04,289.0
2018-07-04,289.0
2018-06-29,2020.0
2018-06-29,2020.0
2018-06-29,2020.0
2018-07-04,310.0
2018-07-04,310.0
2018-07-05,261.0
2018-07-05,261.0
2018-07-05,268.0
2018-07-05,268.0
2018-07-04,360.0
2018-07-04,360.0
2018-07-03,481.74
2018-07-03,481.74
2018-07-06,1250.0
2018-07-06,1250.0
2018-07-06,1250.0
2018-07-06,1700.0
2018-07-06,1750.0
2018-07-06,1750.0
2018-07-06,1250.0
2018-07-06,1250.0
2018-07-03,264.18
2018-07-03,264.18
2018-07-02,556.14
2018-07-02,556.14
2018-07-03,615.25
2018-07-03,615.25
2018-07-06,1042.66
2018-07-06,1042.66
2018-07-02,914.59
2018-07-02,914.59
2018-07-06,5627.89
2018-07-06,5627.89
2018-07-07,814.54
2018-07-07,814.54
2018-07-11,1772.03
2018-07-11,1772.03
2018-07-13,821.06
2018-07-13,821.06
2018-07-10,539.2199999999999
2018-07-10,539.2199999999999
2018-07-22,2964.46
2018-07-23,3252.100000000001
2018-07-23,3252.100000000001
2018-07-02,850.0
2018-07-12,3399.03
2018-07-12,3399.03
2018-07-03,412.0
2018-07-03,412.0
2018-07-03,412.0
2018-07-21,3376.45
2018-07-21,3376.45
2018-07-09,434.02
2018-07-09,37.5
2018-07-09,37.5
2018-07-09,253.9
2018-07-09,869.73
2018-07-09,869.73
2018-07-09,276.01
2018-07-12,7718.589999999997
2018-07-12,7718.589999999997
2018-07-12,1337.5
2018-07-12,1337.5
2018-07-12,827.5
2018-07-12,827.5
2018-07-11,437.5
2018-07-11,437.5
2018-07-11,637.5
2018-07-11,637.5
2018-07-11,637.5
2018-07-11,637.5
2018-07-11,237.5
2018-07-11,237.5
2018-07-12,1292.75
2018-07-12,1292.75
2018-07-12,2321.85
2018-07-12,2321.85
2018-07-13,637.5
2018-07-13,637.5
2018-07-03,1196.46
2018-07-03,1196.46
2018-07-05,890.0
2018-07-05,192.01
2018-07-05,192.01
2018-07-03,260.0
2018-07-03,283.46
2018-07-03,283.46
2018-07-06,1000.0
2018-07-06,1000.0
2018-07-03,609.37
2018-07-03,609.37
2018-07-03,609.37
2018-07-03,609.37
2018-07-10,1300.4
2018-07-10,1300.4
2018-07-09,1375.0
2018-07-04,233.59
2018-07-04,233.59
2018-07-11,4986.36
2018-07-11,4986.36
2018-07-10,260.03
2018-07-10,260.03
2018-07-10,465.07
2018-07-10,465.07
2018-07-02,660.0
2018-07-02,660.0
2018-07-10,410.9
2018-07-10,410.9
2018-07-03,273.1
2018-07-03,273.1
2018-07-03,95.0
2018-07-03,95.0
2018-07-03,199.5
2018-07-03,199.5
2018-07-03,199.5
2018-07-03,1342.0
2018-07-03,1342.0
2018-08-21,2783.5399999999995
2018-08-21,2783.5399999999995
2018-07-03,370.92
2018-07-03,370.92
2018-07-31,2184.75
2018-07-31,2184.75
2018-07-03,420.0
2018-07-03,420.0
2018-08-11,3809.6299999999987
2018-08-11,3809.6299999999987
2018-09-06,2751.6
2018-09-06,2751.6
2018-07-04,145.0
2018-07-04,637.14
2018-07-05,4445.06
2018-07-05,4445.06
2018-07-04,1477.0
2018-07-04,1477.0
2018-07-04,836.0
2018-07-04,836.0
2018-07-10,565.0
2018-07-04,165.86
2018-07-04,165.86
2018-07-05,360.0
2018-07-05,360.0
2018-07-06,620.0
2018-07-06,620.0
